Tracto,Eficiencia Min (km/l),Eficiencia Media (km/l),Eficiencia Max (km/l)
1628,0.0070921985815602835,0.17107662875190055,0.7505629221916438
1630,0.3055555555555556,0.33333333333333337,0.3611111111111111
1633,0.008809602466688691,0.28745357812548894,1.213707758210376
1635,0.07860262008733625,0.07860262008733625,0.07860262008733625
1639,0.015479876160990712,0.2148868133818391,3.85
1640,0.0,0.5660139694515892,9.058823529411764
1641,0.0,0.3304225139411317,12.982797792924377
1649,0.0,0.09674642849327672,0.3657957244655582
1665,0.11916264090177134,1.2367028549909918,2.7464114832535884
1670,0.19569471624266144,0.4092318205821141,0.7777777777777778
1682,0.0,0.29050249231645364,31.32587479171626
1683,0.0,0.7193031552294537,7.163636363636364
1685,0.03950617283950617,0.830859532082786,9.609756097560975
1688,0.0,0.7361944817759856,38.857142857142854
1689,0.03369697990817573,0.7163387347063964,13.389121338912133
1693,0.0,0.24556684266318637,1.6041666666666667
1695,0.0,1.2819625483952501,136.0
1697,0.03043734662430803,0.5609890423763417,4.524590163934426
1698,0.0,3.5709492580436195,22.217100714450336
1701,-0.017857142857142856,1.7814421786681673,15.214285714285714
1704,0.03669724770642202,1.1017437148940237,49.25
1705,0.0,1.3763215783276372,5.5
1711,0.055,1.0231379085667,19.408602150537636
1712,0.13560295454908028,4.021416288187246,123.2011070110701
1714,0.012,0.302098482649939,4.529585533971892
1715,-0.14662756598240467,1.9830268419063182,142.74193548387098
1716,0.0,0.3797282661273109,12.618181818181819
1717,0.0,0.1530572371486813,2.663157894736842
1718,0.0,0.6832499075891086,36.27547991292302
1719,0.0,0.16645868217706777,3.409282700421941
1720,0.034261241970021415,0.9502808489164746,10.364250844911753
1721,0.10236220472440945,1.338115046959952,4.614674665436087
1722,-0.03773584905660377,1.454621506100643,24.830188679245282
1723,0.01092896174863388,0.38468938478023157,10.26865671641791
1724,-0.10526315789473684,0.3132861824269179,8.105263157894736
1725,0.009922439597148952,0.29837298882469293,2.4748201438848922
1726,0.009724473257698542,0.19105723552368356,4.744827586206896
1727,0.02003338898163606,0.17113228435502537,27.14388489208633
1728,-0.02040816326530612,1.1311877342239085,7.020408163265306
