Unidad,Litros,Gasto Combustible,Costo por litro,Kms Totales,Gasto Mantenimiento,CPK,Total Peajes,Eficiencia (km/l),TipoUnidad,Ruta Frecuente,Ruta
1716,494024.52,12430491.13278,25.193795,136476,68731.72,91.58550113411883,0.0,0.2762534944621777,Poca actividad,"TUXTLA GUTIERREZ,CH → TUXTLA GUTIERREZ,CH","TUXTLA GUTIERREZ,CH → TUXTLA GUTIERREZ,CH"
1717,473428.8,12232543.236,25.553202727272726,66176,81228.15,186.0760908184236,0.0,0.13978025840422045,Poca actividad,"TUXTLA GUTIERREZ,CH → TUXTLA GUTIERREZ,CH","TUXTLA GUTIERREZ,CH → TUXTLA GUTIERREZ,CH"
1718,435892.38,8534280.377623,19.677184750000002,207744,62339.88,41.38083534361041,0.0,0.4765947044084597,Poca actividad,"TULTITLAN,EM → CUAUTITLAN,EM/","TULTITLAN,EM → CUAUTITLAN,EM/"
1719,633322.88,16338196.91392,25.606258461538463,96928,31037.99,168.88035349867943,0.0,0.15304673660297888,Poca actividad,"TUXTLA GUTIERREZ,CH → TUXTLA GUTIERREZ,CH","TUXTLA GUTIERREZ,CH → TUXTLA GUTIERREZ,CH"
1720,995084.9400000001,19542992.638893,19.63859276315789,568214,130297.44999999998,34.62302950806034,0.0,0.5710206005127562,Poca actividad,"TEPOTZOTLAN,EM → TEPOTZOTLAN,EM","TEPOTZOTLAN,EM → TEPOTZOTLAN,EM"
1721,1510593.75,30307455.484275,20.066660102040814,1962744,199050.35,15.542783895543687,0.0,1.2993195556383044,Actividad media,"VILLAHERMOSA,TA → TUXTLA GUTIERREZ,CH","VILLAHERMOSA,TA → TUXTLA GUTIERREZ,CH"
1722,1249359.92,25171650.88166,20.26475536363636,1506428,228884.34,16.86143328566649,0.0,1.2057598261996432,Actividad media,"VILLAHERMOSA,TA → TUXTLA GUTIERREZ,CH","VILLAHERMOSA,TA → TUXTLA GUTIERREZ,CH"
1723,957257.73,24352323.102679,25.324171238095236,242088,43076.049999999996,100.77079059135107,0.0,0.2528974093528605,Poca actividad,"TUXTLA GUTIERREZ,CH → TUXTLA GUTIERREZ,CH","TUXTLA GUTIERREZ,CH → TUXTLA GUTIERREZ,CH"
1724,12283311.76,241208905.888128,19.605737576923076,2433392,105742.64,99.16801260468021,0.0,0.19810553110963294,Actividad media,"TULTITLAN,EM → TULTITLAN,EM","TULTITLAN,EM → TULTITLAN,EM"
1725,1027848.78,26260423.924392,25.53962265,266980,159878.72999999998,98.95985712185183,0.0,0.2597463802019593,Poca actividad,"TUXTLA GUTIERREZ,CH → TUXTLA GUTIERREZ,CH","TUXTLA GUTIERREZ,CH → TUXTLA GUTIERREZ,CH"
1726,635055.2,16611577.632000001,26.16916666666667,94716,16840.22,175.5608118163774,0.0,0.14914608997769013,Poca actividad,"TUXTLA GUTIERREZ,CH → TUXTLA GUTIERREZ,CH/Mex","TUXTLA GUTIERREZ,CH → TUXTLA GUTIERREZ,CH/Mex"
1727,10527681.12,206179295.111088,19.596212810810812,1667146,28016.79,123.68881423767805,0.0,0.15835832991111723,Actividad media,"TULTITLAN,EM → JILOTEPEC,EM","TULTITLAN,EM → JILOTEPEC,EM"
1728,2752648.47,55212060.278466,20.061435983606557,2996015,115157.18,18.466936066229977,0.0,1.0884117723902462,Actividad media,"VILLAHERMOSA,TA → TUXTLA GUTIERREZ,CH","VILLAHERMOSA,TA → TUXTLA GUTIERREZ,CH"
1729,2114274.7,43761819.39629,20.706025476190476,3114153,153571.46,14.10187324010413,0.0,1.4729178758086636,Actividad media,"VILLAHERMOSA,TA → TUXTLA GUTIERREZ,CH","VILLAHERMOSA,TA → TUXTLA GUTIERREZ,CH"
1730,1988472.24,40904179.953813,20.73671475,2874600,130061.11,14.274765554794755,0.0,1.445632451977303,Actividad media,"VILLAHERMOSA,TA → TUXTLA GUTIERREZ,CH","VILLAHERMOSA,TA → TUXTLA GUTIERREZ,CH"
1731,3780072.4,73958114.68621,19.540156909090907,1985610,90579.84999999999,37.29266801446911,0.0,0.5252835898063751,Actividad media,"TEPOTZOTLAN,EM → TEPOTZOTLAN,EM","TEPOTZOTLAN,EM → TEPOTZOTLAN,EM"
1732,19408.83,382080.1985,19.622725,6008,58551.37,73.34080700732356,0.0,0.30954982860893726,Poca actividad,"TECAMAC,EM → GUSTAVO A. MADERO,DF","TECAMAC,EM → GUSTAVO A. MADERO,DF"
1733,11753038.35,231020468.711885,19.623835749999998,1818600,65727.72,127.06818235559497,0.0,0.1547344563884623,Actividad media,"TULTITLAN,EM → JILOTEPEC,EM","TULTITLAN,EM → JILOTEPEC,EM"
1734,3780.8199999999997,74016.46673,19.5658436,5315,65228.4,26.198469751646286,0.0,1.4057796985839053,Poca actividad,"MONTERREY,NX → IZTAPALAPA,DF","MONTERREY,NX → IZTAPALAPA,DF"
1735,3437922.84,67038707.413047,19.524493200000002,2134320,106119.93,31.45958775771534,0.0,0.6208167254853224,Actividad media,"TEPOTZOTLAN,EM → TEPOTZOTLAN,EM","TEPOTZOTLAN,EM → TEPOTZOTLAN,EM"
